Iname,component
Dolo 650,Paracetamol
Calpol 650,Paracetamol
Cetzine 10,Cetirizine Hydrochloride
Allerfast 10,Cetirizine Hydrochloride
Azithral 500,Azithromycin Dihydrate
Azee 500,Azithromycin Dihydrate
ColdRelief Plus,Paracetamol
ColdRelief Plus,Phenylephrine HCl
ColdRelief Plus,Chlorpheniramine Maleate
FluGuard Plus,Paracetamol
FluGuard Plus,Phenylephrine HCl
FluGuard Plus,Chlorpheniramine Maleate
ORS Restore,Sodium Chloride
ORS Restore,Potassium Chloride
ORS Restore,Dextrose Anhydrous
ORS Restore,Sodium Citrate
Zincovit,Zinc Sulphate
Zincovit,Vitamin C
