Bid,Month,Year,Sold,Quantity,Expenditure,Income
PHA001,10,2025,1,60,132,168
PHA001,11,2025,1,80,176,224
PHA001,11,2025,0,10,22,0
PHA001,12,2025,1,70,154,196
PHA001,1,2026,1,90,198,252
PHA001,1,2026,0,10,22,0
PHA001,2,2026,1,10,220,280
PHA001,3,2026,1,80,176,224
PHA001,3,2026,0,10,22,0
PHA011,10,2025,1,40,92,116
PHA011,10,2025,0,10,23,0
PHA011,11,2025,1,50,115,145
PHA011,12,2025,1,60,138,174
PHA011,12,2025,0,10,23,0
PHA011,1,2026,1,50,115,145
PHA011,2,2026,1,70,161,203
PHA011,2,2026,0,10,23,0
PHA011,3,2026,1,60,138,174
PHA002,10,2025,1,30,60,81
PHA002,11,2025,1,40,80,108
PHA002,12,2025,1,50,100,135
PHA002,12,2025,0,10,20,0
PHA002,1,2026,1,40,80,108
PHA002,2,2026,1,50,100,135
PHA002,3,2026,1,40,80,108
PHA002,3,2026,0,10,20,0
PHA003,10,2025,1,80,96,144
PHA003,11,2025,1,80,96,144
PHA003,11,2025,0,10,12,0
PHA003,12,2025,1,90,108,162
PHA003,1,2026,1,100,120,180
PHA003,2,2026,1,90,108,162
PHA003,2,2026,0,10,12,0
PHA003,3,2026,1,110,132,198
PHA004,10,2025,1,60,66,102
PHA004,11,2025,1,80,88,136
PHA004,11,2025,0,10,11,0
PHA004,12,2025,1,70,77,119
PHA004,1,2026,1,90,99,153
PHA004,1,2026,0,10,11,0
PHA004,2,2026,1,100,110,170
PHA004,3,2026,1,80,88,136
PHA004,3,2026,0,10,11,0
PHA005,10,2025,1,40,272,344
PHA005,10,2025,0,10,68,0
PHA005,11,2025,1,50,340,430
PHA005,12,2025,1,60,408,516
PHA005,12,2025,0,10,68,0
PHA005,1,2026,1,50,340,430
PHA005,2,2026,1,70,476,602
PHA005,2,2026,0,10,68,0
PHA005,3,2026,1,60,408,516
PHA006,10,2025,1,30,198,252
PHA006,11,2025,1,40,264,336
PHA006,12,2025,1,50,330,420
PHA006,12,2025,0,10,66,0
PHA006,1,2026,1,40,264,336
PHA006,2,2026,1,50,330,420
PHA006,3,2026,1,40,264,336
PHA006,3,2026,0,10,66,0
PHA007,10,2025,1,80,320,440
PHA007,11,2025,1,80,320,440
PHA007,11,2025,0,10,40,0
PHA007,12,2025,1,90,360,495
PHA007,1,2026,1,100,400,550
PHA007,2,2026,1,90,360,495
PHA007,2,2026,0,10,40,0
PHA007,3,2026,1,110,440,605
PHA008,10,2025,1,60,252,342
PHA008,11,2025,1,80,336,456
PHA008,11,2025,0,10,42,0
PHA008,12,2025,1,70,294,399
PHA008,1,2026,1,90,378,513
PHA008,1,2026,0,10,42,0
PHA008,2,2026,1,100,420,570
PHA008,3,2026,1,80,336,456
PHA008,3,2026,0,10,42,0
PHA009,10,2025,1,40,56,80
PHA009,10,2025,0,10,14,0
PHA009,11,2025,1,50,70,100
PHA009,12,2025,1,60,84,120
PHA009,12,2025,0,10,14,0
PHA009,1,2026,1,50,70,100
PHA009,2,2026,1,70,98,140
PHA009,2,2026,0,10,14,0
PHA009,3,2026,1,60,84,120
PHA010,10,2025,1,30,90,126
PHA010,11,2025,1,40,120,168
PHA010,12,2025,1,50,150,210
PHA010,12,2025,0,10,30,0
PHA010,1,2026,1,40,120,168
PHA010,2,2026,1,50,150,210
PHA010,3,2026,1,40,120,168
PHA010,3,2026,0,10,30,0
RET001,10,2025,1,60,2520,3090
RET001,11,2025,1,80,3360,4120
RET001,11,2025,0,10,420,0
RET001,12,2025,1,70,2940,3605
RET001,1,2026,1,90,3780,4635
RET001,1,2026,0,10,420,0
RET001,2,2026,1,100,4200,5150
RET001,3,2026,1,80,3360,4120
RET001,3,2026,0,10,420,0
RET002,10,2025,1,40,368,472
RET002,10,2025,0,10,92,0
RET002,11,2025,1,50,460,590
RET002,12,2025,1,60,552,708
RET002,12,2025,0,10,92,0
RET002,1,2026,1,50,460,590
RET002,2,2026,1,70,644,826
RET002,2,2026,0,10,92,0
RET002,3,2026,1,60,552,708
RET003,10,2025,1,30,354,435
RET003,11,2025,1,40,472,580
RET003,12,2025,1,50,590,725
RET003,12,2025,0,10,118,0
RET003,1,2026,1,40,472,580
RET003,2,2026,1,50,590,725
RET003,3,2026,1,40,472,580
RET003,3,2026,0,10,118,0
RET004,10,2025,1,80,1240,1520
RET004,11,2025,1,80,1240,1520
RET004,11,2025,0,10,155,0
RET004,12,2025,1,90,1395,1710
RET004,1,2026,1,100,1550,1900
RET004,2,2026,1,90,1395,1710
RET004,2,2026,0,10,155,0
RET004,3,2026,1,110,1705,2090
RET005,10,2025,1,60,1860,2190
RET005,11,2025,1,80,2480,2920
RET005,11,2025,0,10,310,0
RET005,12,2025,1,70,2170,2555
RET005,1,2026,1,90,2790,3285
RET005,1,2026,0,10,310,0
RET005,2,2026,1,100,3100,3650
RET005,3,2026,1,80,2480,2920
RET005,3,2026,0,10,310,0
RET006,10,2025,1,40,156,192
RET006,10,2025,0,10,39,0
RET006,11,2025,1,50,195,240
RET006,12,2025,1,60,234,288
RET006,12,2025,0,10,39,0
RET006,1,2026,1,50,195,240
RET006,2,2026,1,70,273,336
RET006,2,2026,0,10,39,0
RET006,3,2026,1,60,234,288
